Rank,Ticker,Hybrid_VPA_Score,Analysis
150,TVS,-161.63,Panic: -257, Crisis: -0, Momentum: -34, Volume: 327, VPA: 335, MCap: 0.75x2
151,DVP,-161.92,Panic: -240, Crisis: 1, Momentum: 0, Volume: 0, VPA: 0, MCap: 0.75x2
152,PC1,-166.39,Panic: -376, Crisis: -0, Momentum: -42, Volume: 38, VPA: 243, MCap: 0.50x2
153,TVN,-167.52,Panic: -253, Crisis: 0, Momentum: -25, Volume: 170, VPA: 28, MCap: 0.75x2
154,CST,-172.56,Panic: -383, Crisis: 1, Momentum: -6, Volume: 0, VPA: 0, MCap: 0.50x2
155,TTF,-173.64,Panic: -276, Crisis: 0, Momentum: -23, Volume: 126, VPA: 557, MCap: 0.75x2
156,CTI,-175.55,Panic: -267, Crisis: 0, Momentum: -37, Volume: 0, VPA: 288, MCap: 0.75x2
157,VND,-178.03,Panic: -220, Crisis: -0, Momentum: -60, Volume: 46, VPA: 17, MCap: 0.90x2
158,ACG,-185.08,Panic: -278, Crisis: 1, Momentum: -7, Volume: 62, VPA: 83, MCap: 0.75x2
159,CSC,-189.90,Panic: -438, Crisis: -0, Momentum: -38, Volume: 248, VPA: 363, MCap: 0.50x2
160,APH,-191.94,Panic: -291, Crisis: 1, Momentum: -7, Volume: 29, VPA: 202, MCap: 0.75x2
161,SCS,-198.42,Panic: -446, Crisis: 1, Momentum: -37, Volume: 75, VPA: 138, MCap: 0.50x2
162,LHG,-199.16,Panic: -300, Crisis: 1, Momentum: 25, Volume: 65, VPA: 101, MCap: 0.75x2
163,VPG,-212.01,Panic: -477, Crisis: 2, Momentum: -45, Volume: 100, VPA: 153, MCap: 0.50x2
164,SIP,-213.44,Panic: -559, Crisis: 0, Momentum: 2390, Volume: 252, VPA: 389, MCap: 0.50x2
165,FTS,-214.38,Panic: -586, Crisis: 0, Momentum: 338, Volume: 667, VPA: 2950, MCap: 0.50x2
166,AGR,-222.11,Panic: -339, Crisis: -0, Momentum: -39, Volume: 249, VPA: 158, MCap: 0.75x2
167,DBC,-222.76,Panic: -495, Crisis: -0, Momentum: -26, Volume: 29, VPA: -8, MCap: 0.50x2
168,VGS,-236.10,Panic: -429, Crisis: -1, Momentum: -29, Volume: 633, VPA: 2264, MCap: 0.75x2
169,PPC,-255.00,Panic: -377, Crisis: 1, Momentum: -18, Volume: 0, VPA: 0, MCap: 0.75x2
170,VTO,-264.12,Panic: -391, Crisis: 1, Momentum: 3, Volume: 0, VPA: -21, MCap: 0.75x2
171,BAF,-274.45,Panic: -409, Crisis: 1, Momentum: -47, Volume: 50, VPA: 80, MCap: 0.75x2
172,GAS,-277.52,Panic: -330, Crisis: 1, Momentum: 139, Volume: 242, VPA: 394, MCap: 1.00x2
173,SKG,-283.52,Panic: -421, Crisis: 1, Momentum: -20, Volume: 0, VPA: 47, MCap: 0.75x2
